region,Area,Population
密云区,2227.4,46.08
怀柔区,2123.8,27.3
房山区,2020.2,101
延庆区,1991.71,28.42
门头沟区,1320.9,30.3
昌平区,1351.98,61.48
大兴区,1012.69,156
顺义区,1020.46,116.9
平谷区,950.012,42.2
通州区,905.982,118.4
朝阳区,475.006,354.5
海淀区,430.976,328.1
丰台区,305.879,226.1
石景山区,85.988,61.6
西城区,50.712,125.9
东城区,41.854,91.9
蓟州区,1590.26,91.15
武清区,1569.54,110
宝坻区,1509,85.13
静海区,1476.3,57
宁河区,1414,43.1
西青区,544.936,85.09
北辰区,478.114,86.4
东丽区,459.984,75.79
津南区,401,66.55
河西区,37.011,87
河东区,39.005,73
南开区,40.637,101
河北区,29.138,88.9
红桥区,21.3,53.15
和平区,9.969,41.97
滨海新区,2268.84,242.3
承德市,39518.22,357.89
张家口市,36800,487.32
保定市,22191.12,1169.05
唐山市,13473.18,792.58
沧州市,14000,758.6
石家庄市,15848.21,1095.16
邢台市,12432,737.44
邯郸市,12066.81,943.3
秦皇岛市,7813,313.42
衡水市,8813.77,447.2
廊坊市,6429,479.5
忻州市,25179.98,306.8
吕梁市,21142.17,372.7
临汾市,20275,448.15
晋中市,16407.65,324.9
运城市,14182.84,535.97
大同市,14175.07,345.60
长治市,13864,345.5
朔州市,10700,171.5
晋城市,9489.76,233.3
太原市,6956.74,442.15
阳泉市,4452.21,141.44
呼伦贝尔市,263954.67,254.9
阿拉善盟,248080.56,25
锡林郭勒盟,203000,105.16
鄂尔多斯市,86752.05,207.84
赤峰市,90274.45,431.5
巴彦淖尔市,65788.59,167
通辽市,59536.33,313.9
乌兰察布市,54491.01,214.4
兴安盟,59805.69,161.3
包头市,27767.39,288.87
呼和浩特市,17187.24,311.5
乌海市,1753.43,63.1
大连市,13237.49,595.2
朝阳市,19696.95,304.5
丹东市,15029.77,244.5
铁岭市,12965.54,271.8
沈阳市,12948,831.6
抚顺市,11271.68,219.3
葫芦岛市,10414.39,276.4
阜新市,10445,185
锦州市,10301,294.96
鞍山市,9251.48,359.8
本溪市,8435.63,146.15
营口市,4970.21,231.4
辽阳市,4741,178.6
盘锦市,4084.43,143.9
延边朝鲜族自治州,43509.41,227.2
吉林市,27166.51,415.35
白城市,25682.44,203.3
松原市,22033.13,288.1
长春市,20603.45,799
白山市,17485.09,129.7
通化市,15195.53,232.5
四平市,14322.7,338.6
辽源市,5125.61,117.7
黑河市,54390,167.4
大兴安岭地区,82999.14,43.93
哈尔滨市,53069.1,1064
齐齐哈尔市,42206.64,536.7
牡丹江市,40233.06,252.5
绥化市,34965,524.7
伊春市,39018.35,114.8
佳木斯市,31528.07,233.3
鸡西市,22488.97,172.7
双鸭山市,26482.75,146.3
大庆市,22160.04,290.5
鹤岗市,14784,99.5
七台河市,6221.18,92.04
崇明区,1411.55,69.96
奉贤区,687.39,115.53
浦东新区,1209.53,550.10
金山区,595.959,79.8
青浦区,675.213,117
松江区,604.765,176.48
嘉定区,464.2,158.89
宝山区,293.71,190.48
闵行区,371.665,242.9
杨浦区,60.606,132.1
普陀区,55.478,128.47
徐汇区,54.934,108.83
长宁区,38.3,69.37
虹口区,23.401,74.42
黄浦区,20.5,65.62
静安区,37.374,100
盐城市,16920.47,824.7
徐州市,11258,880.2
南通市,8544.41,731
淮安市,10072,492.5
苏州市,8487.43,1072
宿迁市,8555,473
连云港市,7614,451.84
扬州市,6591.21,453.1
南京市,6596.73,833.5
泰州市,5786.06,505.19
无锡市,4628.33,657.45
常州市,4384.87,472.9
镇江市,3848,319.64
丽水市,17298.61,218.6
杭州市,16847.95,980.6
温州市,11784.5,828.7
宁波市,9816.1,820.2
舟山市,22198.89,116.8
台州市,9411,611.8
金华市,10927.21,556.4
衢州市,8844.6,257.8
绍兴市,8280.23,501
嘉兴市,4009.32,472.6
湖州市,5819.73,267.06
六安市,18394.18,588.2
安庆市,13589.73,528.44
滁州市,13522.39,454
宣城市,12340,264.8
阜阳市,9774.66,1070.8
宿州市,9940.42,568.14
黄山市,9808.33,138.4
亳州市,8374,523.7
池州市,9422.42,162.4
合肥市,11434.85,808.7
蚌埠市,5951.82,381.25
芜湖市,6047.65,369.6
淮北市,2740.22,222.8
淮南市,5532.24,345.6
马鞍山市,4049,233.7
铜陵市,2924.11,170
南平市,26278.14,321.26
三明市,22929.27,258
龙岩市,19070.17,256
宁德市,13452.46,291
福州市,12178.18,766
漳州市,12887.84,481
泉州市,11219.88,870
莆田市,4118.1,290
厦门市,1699.04,353.1
赣州市,39380.95,981.46
吉安市,25300,495.66
上饶市,22800,675.2
九江市,18824.12,489.68
抚州市,18798.22,391.2
宜春市,18637.64,542
南昌市,7195.02,554.55
景德镇市,5270,167.3213
萍乡市,3822.84,185.5
鹰潭市,3553.48,112.5
新余市,3178,113.9
烟台市,13745.95,651.8
临沂市,17192.42,1124
潍坊市,15859,937.3
青岛市,11067.07,904.6
菏泽市,12238.6,876.5
济宁市,11186.21,834.59
德州市,10354.82,558.6
滨州市,9445.73,377.9
聊城市,8715.35,639.692
东营市,7922.81,213.21
济南市,10243.45,870
泰安市,7762.23,564
威海市,5796.42,282.56
日照市,5309.5,306.65
淄博市,5964.77,470.84
枣庄市,4563.58,392.73
莱芜市,2245.53,137.6
南阳市,26508.65,1194
信阳市,18293.17,123
洛阳市,15229.2,713.67
驻马店市,15084.16,805.18
周口市,11958.03,867.78
商丘市,10704,732.53
三门峡市,10309,230.8
新乡市,8249.15,579.41
平顶山市,7881.37,490.5
郑州市,7505.82,1012
安阳市,7355.6,517.6
开封市,6247.08,456.49
焦作市,4071.48,354.6
济源市,1932.14,70.31
许昌市,4996.11,443.74
濮阳市,4188.03,360.94
漯河市,2615.9,284.13
鹤壁市,2180.78,162.73
恩施土家族苗族自治州,24111,74.96
十堰市,23600,340.6
宜昌市,21339.01,406
襄阳市,19725.44,605
黄冈市,17446.24,750
荆州市,14104,569.2
荆门市,12403.51,302.3
咸宁市,9861,253.51
随州市,9634.8,221.67
孝感市,8922.55,530
武汉市,8495.2,1108
黄石市,4581.71,268.93
神农架林区,3253.04,7.614
天门市,2621.08,173.1
仙桃市,2538.2,117.5
潜江市,2004.66,96.2
鄂州市,1504.79,107.69
怀化市,27599.04,497.96
永州市,22442.35,518
邵阳市,20828.78,707.2
郴州市,19316.22,473.1
常德市,18189.8,582.7
湘西土家族苗族自治州,15470.07,264.95
衡阳市,15278.41,720.53
岳阳市,14895.09,547.8
益阳市,12144,439.2
长沙市,11818.17,743.2
株洲市,11261.32,402.15
张家界市,9518.25,147.7
娄底市,8117.06,455.17
湘潭市,5014.24,283.8
清远市,19153.05,387.4
韶关市,18645.41,299.76
湛江市,12488.98,733.2
梅州市,15863.75,550.11
河源市,15653.96,309.39
肇庆市,15055.67,415.17
惠州市,10922.03,483
茂名市,11424.49,631.32
江门市,9443.14,459.82
阳江市,7956.48,254.29
云浮市,7785.11,252.69
广州市,7433.3,1490.44
汕尾市,4861.43,293.5
揭阳市,5239.57,587.7
珠海市,1724.94,189.11
佛山市,3848.74,719.7
潮州市,3110.59,277.45
汕头市,2248.12,563.85
深圳市,2051.28,1253
东莞市,2465.68,839.22
中山市,1784.51,314.2
百色市,36252,417.17
河池市,33499.06,399.2
桂林市,27808.83,474.8
南宁市,22188.53,725.4
柳州市,18618,404.17
崇左市,17345.23,234.8
来宾市,13400.66,249.8
玉林市,12800,732.73
梧州市,12587.4,352
贺州市,11748.24,195.4
钦州市,5249.93,404.1
贵港市,10595.69,411.9
防城港市,6179.74,86.01
北海市,3335.92,175.42
儋州市,3392.9,93.24
文昌市,2403.52,53.74
乐东黎族自治县,2765.5,53.44
三亚市,1919.58,61.4647
琼中黎族苗族自治县,2937.06,22.8
东方市,2255.89,42.97
海口市,3145.93,230.23
万宁市,4441.85,57.36
澄迈县,2066.82,56.5
白沙黎族自治县,2178.19,17.16
琼海市,1691.27,48.32
昌江黎族自治县,1569,22.8
临高县,1315.72,51.5
陵水黎族自治县,1129.24,36.46
屯昌县,1230.25,25.69
定安县,1188.81,28.46
保亭黎族苗族自治县,1160.32,16.78
五指山市,1129.24,10.60
酉阳土家族苗族自治县,5172.23,84
奉节县,4097.38,83.43
巫溪县,4030.04,41.41
开州区,3960.11,116
彭水苗族土家族自治县,3903.13,54.51
云阳县,3633.77,91.29
万州区,3457.65,175.4
城口县,3289.3,19.3
江津区,3200.44,138.7
石柱土家族自治县,3012.17,41.51
巫山县,2957.78,49.51
涪陵区,2944.83,116.2
丰都县,2895.62,64.92
武隆县,2872.31,35.1
南川区,2602.95,58.21
秀山土家族苗族自治县,2450.14,50.16
黔江区,2402,47.76
合川区,2356.9,152.5894
忠县,2183.37,75.14
梁平县,1890.7,65.36
巴南区,1834.23,106.72
潼南区,1585.08,64
永川区,1576,112
垫江县,1517.74,70.45
渝北区,1452.03,163.23
长寿区,1414.14,82.57
铜梁区,1341.62,60.01
荣昌区,1080.03,66.13
璧山区,911.939,58.6
北碚区,754.208,81.10
九龙坡区,431.857,121.51
沙坪坝区,396.2,83.2
南岸区,263.144,89.1
江北区,220.77,88.51
大渡口区,102.823,34
渝中区,22.999,63.01
綦江区,2747,82.55
大足区,1432.27,72.13
甘孜藏族自治州,147681.8,109.2
阿坝藏族羌族自治州,83201.16,92
凉山彝族自治州,60261.53,521.29
绵阳市,20266.75,485.70
达州市,16588.95,690
广元市,16314.41,248.4
雅安市,15046,150.7
宜宾市,13294.47,552.3
乐山市,12828.27,350.68
南充市,12477,732.69
巴中市,12299.91,331.67
泸州市,12232.57,509.58
成都市,14377.09,1443
资阳市,5757,366.5
攀枝花市,7422.94,109.44
眉山市,7174.3,295.1
广安市,6339.22,325
德阳市,5817.14,361.6
内江市,5384.61,411.77
遂宁市,5325.04,325.3
自贡市,4371.92,323.94
遵义市,30764.02,109.5
黔东南苗族侗族自治州,30337.1,353.8
毕节地区,26853.12,653.6
黔南布依族苗族自治州,26192.67,323.3
铜仁地区,18003,316.88
黔西南布依族苗族自治州,16806.51,365
六盘水市,9965,292.41
安顺市,9269.61,229.7
贵阳市,8034.18,488.19
普洱市,45384.57,254.3
红河哈尼族彝族自治州,32931,456.1
文山壮族苗族自治州,31408.93,351.8
曲靖市,29854.93,652.97
楚雄彝族自治州,29000,268.4
大理白族自治州,1468.53,65.2
临沧市,24000,243
迪庆藏族自治州,23185.68,40.02
昭通市,23190.86,521.4
昆明市,21502.18,662.6
丽江市,20556.83,128.5
西双版纳傣族自治州,19582.45,118
保山市,19064.99,250.6
玉溪市,15286.18,237.5
怒江傈僳族自治州,14703,53.43
德宏傣族景颇族自治州,11500,130
那曲地区,450538.27,46.24
阿里地区,304685.01,10.74
日喀则市,79699.48,84.53
林芝市,116174.45,23.1
昌都市,110155.29,73
山南市,79699.48,37.5300
拉萨市,29274.77,90.25
榆林市,43579.34,370
延安市,37000.74,225.94
汉中市,27246.8,380.68
安康市,23535.33,263
商洛市,19588.17,234.2
宝鸡市,18712.75,371.7
渭南市,13030,552.1
咸阳市,10212.37,509.6
西安市,10095.82,1200
铜川市,3882,83.34
酒泉市,191344.02,109.6
张掖市,41999.44,120
甘南藏族自治州,40898.69,68.91
武威市,32999.19,181.5
陇南市,27000.75,256.8
庆阳市,27119.89,221.1
白银市,21199.15,170.9
定西市,19608.89,303.1
天水市,14299.39,326.3
兰州市,13299.65,375.36
平凉市,11325,206.8
临夏回族自治州,8860.4,204.41
金昌市,8896.65,22.86
嘉峪关市,2934.47,23.19
海西蒙古族藏族自治州,325785.74,51.52
玉树藏族自治州,204887.13,40.95
果洛藏族自治州,74247.53,20.57
海南藏族自治州,43452.43,47.63
海北藏族自治州,45000,28.3
黄南藏族自治州,18225.83,27.42
海东市,12810.14,147.08
西宁市,7371.14,237.11
吴忠市,16757.3,143.78
中卫市,16985.22,121.42
固原市,14413.35,150.77
银川市,8875.93,225.06
石嘴山市,5208.49,80.3
巴音郭楞蒙古自治州,472472.98,127.8
铁门关市,590.261,5
和田地区,247800.84,244.98
昆玉市,687.127,4.75
哈密市,138919,61.97
阿克苏地区,132500,250.83
阿勒泰地区,117000,67.16
北屯市,910.385,7.63
喀什地区,112056.35,464.97
塔城地区,104547,93.56
昌吉回族自治州,73660.41,160.35
克孜勒苏柯尔克孜自治州,70916.79,62.059
吐鲁番市,70049,63.73
伊犁哈萨克自治州,269100,458.2
可克达拉市,979.797,7.5
博尔塔拉蒙古自治州,24896,47.85
双河市,742.294,5.38
乌鲁木齐市,14576.52,350.58
克拉玛依市,7733.74,40.15
阿拉尔市,5257.7,32.68
图木舒克市,1926.96,25.56
五家渠市,742,12.56
石河子市,459.984,38
高雄市,278,277.3
屏东县,2776.48,83.9
台南市,2191.14,188.1
新竹市,104.092,44.82
新竹县,1427.09,56.31
宜兰县,2144.52,45.43
基隆市,133,37
苗栗县,1820.77,56.71
台北市,271.691,264.6
新北市,2053.87,401.5
桃园县,1219.89,224.5
彰化县,1074.85,128.9
嘉义县,1901.06,52.48
嘉义市,60,27.4
花莲县,4628.33,33.34
南投县,4107.74,51.43
台中市,2214.8968,279.398
云林县,1289.82,68.21
台东县,3514.63,22.45
澎湖县,141.051,10.18
金门,151.656,13.1
马祖,28.801,1.272
中西区,12.4,24.33
湾仔区,10.02,15.26
东区,18.9,61.62
南区,38.95,28
油水旺区,7,28
九龙市,10,38
深水埗区,9.479,40.59
黄大仙区,9.26,42.02
观塘区,11.3,64.85
西贡区,126.8,43.66
沙田区,69.412,65.98
葵青区,21.821,52.06
荃湾区,60.7,29
屯门区,84.45,48.883
元朗区,138,57.85
北区,20.611,34.03
大埔区,148.044,57.19
离岛区,175.032,6.31
澳门,32.8,63
